"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","FirstGADate","Support","Hide","Replace","Notes"
"@azure/arm-machinelearningexperimentation","1.1.0","","Resource Management - Machine Learning Experimentation","Machine Learning","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/machinelearningexperimentation/arm-machinelearningexperimentation","NA","","mgmt","false","","","","","",""
"@azure/arm-machinelearningservices","4.0.0","","Resource Management - Machine Learning Services","Machine Learning","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/machinelearningservices/arm-machinelearningservices","NA","NA","mgmt","false","","","","","",""
"@azure/arm-managedapplications","1.0.2","","Resource Management - Managed Applications","Managed Applications","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/managedapplications/arm-managedapplications","NA","","mgmt","false","","","","","",""
"@azure/arm-msi","1.1.0","","Resource Management - Managed Service Identity","Managed Service Identity","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/msi/arm-msi","NA","","mgmt","false","","","","","",""
"@azure/arm-managementgroups","1.1.0","","Resource Management - Management Groups","Management Groups","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/managementgroups/arm-managementgroups","NA","","mgmt","false","","","","","",""
"@azure/arm-managementpartner","1.1.0","","Resource Management - Management Partner","Management Partner","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/managementpartner/arm-managementpartner","NA","","mgmt","false","","","","","",""
"@azure/arm-maps","2.0.0","","Resource Management - Maps","Maps","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/maps/arm-maps","NA","NA","mgmt","false","","","","","",""
"@azure/arm-mariadb","1.4.0","","Resource Management - Maria DB","Database for MariaDB","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/mariadb/arm-mariadb","NA","","mgmt","false","","","","","",""
"@azure/arm-marketplaceordering","2.0.0","","Resource Management - Market Place Ordering","Marketplace Ordering","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/marketplaceordering/arm-marketplaceordering","NA","NA","mgmt","false","","","","","",""
"@azure/arm-mediaservices","8.1.0","","Resource Management - Media Services","Media Services","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/mediaservices/arm-mediaservices","https://docs.microsoft.com/javascript/api/overview/azure/media-services","NA","mgmt","false","","","","","",""
"@azure/arm-migrate","1.1.0","","Resource Management - Migrate","Migrate","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/migrate/arm-migrate","NA","","mgmt","false","","","","","",""
"@azure/arm-mixedreality","3.0.0","","Resource Management - Mixed Reality","Mixed Reality","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/mixedreality/arm-mixedreality","https://docs.microsoft.com/javascript/api/overview/azure/mixed-reality","NA","mgmt","false","","","","","",""
"@azure/arm-monitor","6.0.0","","Resource Management - Monitor","Monitor","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/monitor/arm-monitor","https://docs.microsoft.com/javascript/api/overview/azure/monitor","","mgmt","false","","","","","",""
"@azure/arm-monitor-profile-2019-03-01-hybrid","1.0.0","","Resource Management - Monitor","Monitor","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/monitor/arm-monitor-profile-2019-03-01-hybrid","NA","","mgmt","false","","","","true","",""
"@azure/arm-mysql","3.3.0","","Resource Management - MySQL","Database for MySQL","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/mysql/arm-mysql","https://docs.microsoft.com/javascript/api/overview/azure/mysql","","mgmt","false","","","","","",""
"@azure/arm-netapp","14.1.0","","Resource Management - NetApp","NetApp Files","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/netapp/arm-netapp","NA","NA","mgmt","false","","","","","",""
"@azure/arm-network","25.0.0","","Resource Management - Network","Virtual Network","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/network/arm-network","https://docs.microsoft.com/javascript/api/overview/azure/virtual-network","NA","mgmt","false","","","","","",""
"@azure/arm-network-profile-2019-03-01-hybrid","1.0.0","","Resource Management - Network","Virtual Network","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/network/arm-network-profile-2019-03-01-hybrid","NA","","mgmt","false","","","","true","",""
"@azure/arm-notificationhubs","1.2.0","","Resource Management - Notification Hubs","Notification Hubs","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/notificationhubs/arm-notificationhubs","https://docs.microsoft.com/javascript/api/overview/azure/notification-hubs","","mgmt","false","","","","","",""
"@azure/arm-operationalinsights","7.0.0","","Resource Management - Operational Insights","Operational Insights","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/operationalinsights/arm-operationalinsights","https://docs.microsoft.com/javascript/api/overview/azure/operational-insights","NA","mgmt","false","","","","","",""
"@azure/arm-operations","2.1.0","","Resource Management - Operations","Operations Management","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/operationsmanagement/arm-operations","NA","","mgmt","false","","","","","",""
"@azure/arm-peering","1.0.0","","Resource Management - Peering","Peering Service","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/peering/arm-peering","NA","","mgmt","false","","","","","",""
"@azure/arm-policy","4.0.0","","Resource Management - Policy","Policy","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/policy/arm-policy","NA","NA","mgmt","false","","","","","",""
"@azure/arm-policy-profile-hybrid-2019-03-01","1.0.0","","Resource Management - Policy","Policy","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/policy/arm-policy-profile-hybrid-2019-03-01","NA","","mgmt","false","","","","true","",""
"@azure/arm-policyinsights","4.0.0","","Resource Management - Policy Insights","Policy Insights","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/policyinsights/arm-policyinsights","NA","NA","mgmt","false","","","","","",""
"@azure/arm-postgresql","5.0.0","","Resource Management - PostgreSQL","Database for PostgreSQL","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/postgresql/arm-postgresql","NA","NA","mgmt","false","","","","","",""
"@azure/arm-powerbidedicated","2.0.0","","Resource Management - Power BI Dedicated","Power BI Dedicated","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/powerbidedicated/arm-powerbidedicated","NA","NA","mgmt","false","","","","","",""
"@azure/arm-powerbiembedded","1.2.0","","Resource Management - Power BI Embedded","Power BI","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/powerbiembedded/arm-powerbiembedded","https://docs.microsoft.com/javascript/api/overview/azure/powerbi-embedded","","mgmt","false","","","","","",""
"@azure/arm-privatedns","2.0.0","","Resource Management - Private DNS","Private DNS","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/privatedns/arm-privatedns","NA","NA","mgmt","false","","","","","",""
"@azure/arm-recoveryservices","4.1.0","","Resource Management - Recovery Services","Site Recovery","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/recoveryservices/arm-recoveryservices","https://docs.microsoft.com/javascript/api/overview/azure/site-recovery","NA","mgmt","false","","","","","",""
"@azure/arm-recoveryservicesbackup","7.0.0","","Resource Management - Recovery Services Backup","Site Recovery","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/recoveryservicesbackup/arm-recoveryservicesbackup","https://docs.microsoft.com/javascript/api/overview/azure/backup","NA","mgmt","false","","","","","",""
"@azure/arm-recoveryservices-siterecovery","3.2.0","","Resource Management - Recovery Services Site Recovery","Site Recovery","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/recoveryservicessiterecovery/arm-recoveryservices-siterecovery","NA","","mgmt","false","","","","","",""
"@azure/arm-rediscache","4.0.0","","Resource Management - Redis Cache","Redis Cache","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/redis/arm-rediscache","https://docs.microsoft.com/javascript/api/overview/azure/redis-cache","NA","mgmt","false","","","","","",""
"@azure/arm-relay","2.1.0","","Resource Management - Relay","Relay","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/relay/arm-relay","https://docs.microsoft.com/javascript/api/overview/azure/relay","","mgmt","false","","","","","",""
"@azure/arm-reservations","6.0.0","","Resource Management - Reservations","Reservations","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/reservations/arm-reservations","NA","NA","mgmt","false","","","","","",""
"@azure/arm-resourcegraph","4.1.0","","Resource Management - Resource Graph","Resource Graph","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/resourcegraph/arm-resourcegraph","NA","NA","mgmt","false","","","","","",""
"@azure/arm-resourcehealth","1.1.0","","Resource Management - Resource Health","Resource Health","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/resourcehealth/arm-resourcehealth","NA","","mgmt","false","","","","","",""
"@azure/arm-resources","4.2.0","","Resource Management - Resources","Resources","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/resources/arm-resources","https://docs.microsoft.com/javascript/api/overview/azure/resources","NA","mgmt","false","","","","","",""
"@azure/arm-resources-profile-hybrid-2019-03-01","1.0.0","","Resource Management - Resources","Resources","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/resources/arm-resources-profile-hybrid-2019-03-01","NA","","mgmt","false","","","","true","",""
"@azure/arm-search","1.3.0","","Resource Management - Search","Search","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/search/arm-search","https://docs.microsoft.com/javascript/api/overview/azure/search","","mgmt","false","","","","","",""
"@azure/arm-security","2.0.0","","Resource Management - Security","Security Center","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/security/arm-security","NA","NA","mgmt","false","","","","","",""
"@azure/arm-serialconsole","1.0.0","","Resource Management - Serial Console","Serial Console","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/serialconsole/arm-serialconsole","NA","","mgmt","false","","","","","",""
"@azure/arm-servicebus","4.0.0","","Resource Management - Service Bus","Service Bus","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/servicebus/arm-servicebus","https://docs.microsoft.com/javascript/api/overview/azure/service-bus","NA","mgmt","false","","","","","",""
"@azure/arm-servicefabricmesh","2.1.0","","Resource Management - Service Fabric Mesh","Service Fabric","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/servicefabricmesh/arm-servicefabricmesh","NA","","mgmt","false","","","","","",""
"@azure/arm-servicemap","2.2.0","","Resource Management - Service Map","Service Map","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/service-map/arm-servicemap","https://docs.microsoft.com/javascript/api/overview/azure/service-map","","mgmt","false","","","","","",""
"@azure/arm-signalr","4.0.0","","Resource Management - SignalR","SignalR","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/signalr/arm-signalr","NA","NA","mgmt","false","","","","","",""
"@azure/arm-sql","7.1.0","","Resource Management - SQL","SQL","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/sql/arm-sql","https://docs.microsoft.com/javascript/api/overview/azure/sql","NA","mgmt","false","","","","","",""
"@azure/arm-sqlvirtualmachine","4.0.0","","Resource Management - Sql Virtual Machine","SQL Server on Virtual Machines","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/sqlvirtualmachine/arm-sqlvirtualmachine","NA","NA","mgmt","false","","","","","",""
"@azure/arm-storage","16.0.0","","Resource Management - Storage","Storage","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/storage/arm-storage","NA","NA","mgmt","false","","","","","",""
"@azure/arm-storage-profile-2019-03-01-hybrid","1.0.0","","Resource Management - Storage","Storage","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/storage/arm-storage-profile-2019-03-01-hybrid","NA","","mgmt","false","","","","true","",""
"@azure/arm-storagecache","4.0.0","","Resource Management - Storage Cache","Storage","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/storagecache/arm-storagecache","NA","NA","mgmt","false","","","","","",""
"@azure/arm-storageimportexport","1.2.0","","Resource Management - Storage Import Export","Storage","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/storageimportexport/arm-storageimportexport","NA","","mgmt","false","","","","","",""
"@azure/arm-storagesync","8.0.0","","Resource Management - Storage Sync","Storage","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/storagesync/arm-storagesync","NA","NA","mgmt","false","","","","","",""
"@azure/arm-storsimple1200series","1.1.0","","Resource Management - StorSimple1200Series","StorSimple","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/storsimple1200series/arm-storsimple1200series","NA","","mgmt","false","","","","","",""
"@azure/arm-storsimple8000series","1.1.0","","Resource Management - StorSimple8000Series","StorSimple","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/storsimple8000series/arm-storsimple8000series","NA","","mgmt","false","","","","","",""
"@azure/arm-streamanalytics","2.0.0","","Resource Management - Stream Analytics","Stream Analytics","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/streamanalytics/arm-streamanalytics","NA","NA","mgmt","false","","","","","",""
"@azure/arm-subscriptions","3.0.0","","Resource Management - Subscriptions","Subscriptions","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/subscription/arm-subscriptions","NA","NA","mgmt","false","","","","","",""
"@azure/arm-subscriptions-profile-hybrid-2019-03-01","1.0.0","","Resource Management - Subscriptions","Subscriptions","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/subscription/arm-subscriptions-profile-hybrid-2019-03-01","NA","","mgmt","false","","","","true","",""
"@azure/arm-support","1.0.0","","Resource Management - Support","Help + support","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/support/arm-support","NA","NA","mgmt","false","","","","","",""
"@azure/arm-synapse","5.1.0","","Resource Management - Synapse","Synapse Analytics","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/synapse/arm-synapse","NA","NA","mgmt","false","","","","","",""
"@azure/arm-timeseriesinsights","1.2.1","","Resource Management - Time Series Insights","Time Series Insights","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/timeseriesinsights/arm-timeseriesinsights","NA","NA","mgmt","false","","","","","",""
"@azure/arm-trafficmanager","5.0.0","","Resource Management - Traffic Manager","Traffic Manager","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/trafficmanager/arm-trafficmanager","https://docs.microsoft.com/javascript/api/overview/azure/traffic-manager","NA","mgmt","false","","","","","",""
"@azure/arm-visualstudio","2.2.0","","Resource Management - Visual Studio","Visual Studio","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/visualstudio/arm-visualstudio","NA","","mgmt","false","","","","","",""
"@azure/arm-vmwarecloudsimple","1.0.0","","Resource Management - VMware CloudSimple","VMWare by CloudSimple","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/vmwarecloudsimple/arm-vmwarecloudsimple","NA","","mgmt","false","","","","","",""
"@azure/arm-webservices","0.1.1","","Resource Management - Web Services","Machine Learning","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/machinelearning/arm-webservices","NA","","mgmt","false","","","","","",""
"@azure/arm-workspaces","0.1.1","","Resource Management - Work Spaces","Machine Learning","https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/machinelearning/arm-workspaces","NA","","mgmt","false","","","","","",""
